Name	WER	Truth	Hypothesis	Insertions	Deletions	Substitutions
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002287-00000095.wav	0.09090909090909091	简 单 地 说 这 相 当 于 惠 普 把 消 费 领 域 市 场 拱 手 相 让 了	啊   简   单   的   说   这   相   当   于   惠   普   把   消   费   领   域   市   场   拱   手   相   让   了	1	0	1
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002287-00000099.wav	0.09090909090909091	可 是 对 另 外 两 台 音 调 失 准 怪 声 怪 气 的 琴 他 束 手 窝 策	可   是   对   另   外   两   台   音   调   湿   准   怪   声   怪   气   的   琴   他   束   手   倭   策	0	0	2
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002290-00000102.wav	0.09523809523809523	说 说 你 们 在 京 藏 高 速 怀 安 段 堵 车 现 场 看 到 的 情 况	呃   说   说   你   们   在   京   藏   高   速   淮   安   段   堵   车   现   场   看   到   的   情   况	1	0	1
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002290-00000011.wav	0.0	自 动 驾 驶 将 大 幅 提 升 出 行 安 全 效 率	自   动   驾   驶   将   大   幅   提   升   出   行   安   全   效   率	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002298-00000016.wav	0.0	共 同 建 设 面 向 未 来 的 交 通 和 出 行 服 务 新 生 态	共   同   建   设   面   向   未   来   的   交   通   和   出   行   服   务   新   生   态	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002298-00000019.wav	0.0	我 们 将 为 全 球 城 市 的 可 持 续 发 展 贡 献 力 量	我   们   将   为   全   球   城   市   的   可   持   续   发   展   贡   献   力   量	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002309-00000033.wav	0.0625	目 前 中 国 互 联 网 国 际 化 还 在 开 拓 阶 段	啊   目   前   中   国   互   联   网   国   际   化   还   在   开   拓   阶   段	1	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002309-00000011.wav	0.0	自 动 驾 驶 将 大 幅 提 升 出 行 安 全 效 率	自   动   驾   驶   将   大   幅   提   升   出   行   安   全   效   率	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002334-00000041.wav	0.0	经 济 发 展 是 城 市 高 效 宜 居 发 展 的 基 石	经   济   发   展   是   城   市   高   效   宜   居   发   展   的   基   石	0	0	0
/opt/gpfs/users/shuai/work/block-conversion-b2/OmniVoice/results_b2_sweep/gs3p5/seedtts_zh/10002334-00000043.wav	0.0	经 济 发 展 的 不 平 不 充 分 问 题 日 益 突 出	经   济   发   展   的   不   平   不   充   分   问   题   日   益   突   出	0	0	0
